zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
0.014175782	143.9834192	0.014152409
0.014179776	143.9711533	0.014146747
0.014182299	143.9634061	0.014143168
0.014191312	143.9361688	0.01412937
0.014940428	141.7594713	0.012977747
0.014991541	141.61723	0.012898829
0.015233959	140.9535362	0.012523946
0.015409851	140.4832718	0.012251329
0.015800783	139.4720887	0.01164357
0.015848551	139.3517487	0.011569134
0.016039221	138.874111	0.011275108
0.016193274	138.4949757	0.011038442
0.016228397	138.4093813	0.010984594
0.016385505	138.0333535	0.010741859
0.016788996	137.087658	0.010134197
0.016856659	136.932186	0.01003436
0.017009076	136.5851139	0.00981166
0.017206473	136.1420742	0.009527751
0.017240689	136.0660206	0.009479057
0.017297772	135.9396281	0.009398162
0.017536148	135.4184061	0.009064949
0.017758259	134.9423141	0.008761154
0.017816893	134.8181726	0.008682033
0.017941518	134.5564505	0.008515355
0.018092156	134.2420992	0.008316144
0.018167778	134.0855004	0.008217853
0.018337886	133.736118	0.007999775
0.018449247	133.5095569	0.007859277
0.018615281	133.1749417	0.007653135
0.018760584	132.8852249	0.007476003
0.018845417	132.7185389	0.007373587
0.018963463	132.4877208	0.007233002
0.019055845	132.3079973	0.007124546
0.019149136	132.1273213	0.007016419
0.019644331	131.1819974	0.006465944
0.019743991	130.9945363	0.006359932
0.019888017	130.7252756	0.006209556
0.01999664	130.5234917	0.006098353
0.020334957	129.9021726	0.005758651
0.020438973	129.7133741	0.005656968
0.020639926	129.3515883	0.005464193
0.020900142	128.8874773	0.005225741
0.020967804	128.7675835	0.005165401
0.021360085	128.0788594	0.004829084
0.021378033	128.0475984	0.004814239
0.02162767	127.6146192	0.004610807
0.021683245	127.5192359	0.004566281
0.021688095	127.5109184	0.004562412
0.022357219	126.3748322	0.00405518
0.022542977	126.0634256	0.003923695
0.023104049	125.1333557	0.003551171
0.023134349	125.0835784	0.003532106
0.023152793	125.0533006	0.003520553
0.023458284	124.5542914	0.003335025
0.02347307	124.5302577	0.003326323
0.023575563	124.3639649	0.003266713
0.02371186	124.1430859	0.003187774
0.024151503	123.4361616	0.002947608
0.024171586	123.4040125	0.002936967
0.024460394	122.9430998	0.002787142
0.024494289	122.8891778	0.002769949
0.024571949	122.7657666	0.002730868
0.024610239	122.7049891	0.002711758
0.02471043	122.5462541	0.002662818
0.025037723	122.0305177	0.002507192
0.025120347	121.9006956	0.002469184
0.025512284	121.2875153	0.002296658
0.025541546	121.2419109	0.002284292
0.025677316	121.0306337	0.002227852
0.0257305	120.9480156	0.002206162
0.025778345	120.873759	0.002186853
0.025995941	120.5368704	0.002101446
0.026513654	119.7407514	0.001914142
0.026660918	119.5152275	0.001863311
0.026844666	119.2343584	0.001801374
0.027042997	118.9318595	0.001736377
0.027446821	118.318419	0.001610533
